x y r b
293 43 10 46
551 245 9 62
79 175 10 60
97 297 10 68
135 425 10 75
325 299 10 94
331 377 10 82
423 371 10 78
379 61 9 49
153 437 9 74
333 67 9 46
373 357 9 85
33 367 8 62
425 203 8 71
579 291 10 63
109 315 10 71
283 569 10 64
273 467 9 76
233 235 9 80
319 495 10 70
553 221 10 54
23 217 9 51
97 185 9 66
467 325 9 71
549 157 8 50
