x y r b
301 417 9 120
317 193 9 86
41 383 10 99
145 289 10 102
237 165 10 80
279 165 10 83
359 467 10 119
399 597 10 116
9 151 10 61
473 431 9 104
375 347 9 117
105 275 8 95
495 553 8 107
47 187 8 66
39 455 10 108
457 345 10 101
145 213 9 96
207 405 9 117
239 279 9 106
449 429 9 105
257 389 8 124
181 555 10 121
495 401 10 94
563 79 10 50
