x y r b
59 597 9 87
385 481 9 100
139 351 10 97
201 455 10 106
391 49 10 50
593 123 9 50
489 397 9 95
71 315 8 85
235 209 8 83
121 435 10 101
37 297 10 90
401 455 10 101
173 311 9 100
193 201 10 74
267 229 10 91
351 485 10 107
387 397 10 107
507 145 10 54
303 395 9 114
173 431 10 110
261 515 10 106
31 87 9 44
