x y r b
336 56 10 33
584 558 7 255
62 34 8 28
164 492 8 45
320 332 8 79
80 78 10 25
448 282 9 34
304 274 7 108
356 444 7 42
378 564 7 36
116 518 10 33
236 78 10 38
472 364 10 26
462 218 7 126
562 62 10 54
176 300 10 36
270 564 8 40
294 146 8 39
280 208 7 127
202 128 7 255
510 378 9 26
374 376 8 66
552 508 7 50
476 498 7 254
164 230 10 66
558 158 10 25
58 478 8 84
180 526 8 35
424 506 8 31
448 582 8 101
500 132 8 27
120 40 7 215
238 412 7 51
148 454 7 233
